Date and Time:                Thu Mar 13 16:07:41.171 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
468,17169	235
468,68417	22
469,19669	129
469,70923	236
470,2218	206
470,73438	76
471,24698	111
471,75961	208
472,27228	173
472,78494	142
473,29767	124
473,81039	314
474,32315	256
474,83594	139
475,34872	162
475,86154	176
476,37442	292
476,8873	140
477,40018	104
477,91312	150
478,42606	126
478,93903	55
479,45203	-4
479,96506	35
480,47809	13
480,99118	-11
481,50427	50
482,0174	-39
482,53055	124
483,0437	76
483,55688	146
484,07013	37
484,58334	7
485,09662	-106
485,60992	26
486,12323	104
486,63657	-26
487,14993	2
487,66333	-134
488,17673	4
488,69016	-150
489,20364	-60
489,7171	-156
490,23062	76
490,74417	31
491,25772	-53
491,7713	-41
492,28491	-36
492,79855	-46
493,31219	1
493,82587	-39
494,33957	62
494,8533	22
495,36707	-96
495,88083	58
496,39465	-95
496,90848	-47
497,42233	-84
497,93619	89
498,4501	-74
498,96402	5
499,47797	-63
499,99194	-3
500,50595	-2
501,01996	-62
501,534	46
502,04807	-179
502,56216	-60
503,07629	-149
503,59042	2
504,10458	200
504,61877	-45
505,133	58
505,64725	25
506,1615	-44
506,67581	-23
507,19012	-54
507,70444	-54
508,21881	10
508,73318	-186
509,24762	-110
509,76205	24
510,27652	-85
510,79099	-148
511,30551	-65
511,82004	-175
512,33459	-127
512,84918	-67
513,36377	63
513,87842	45
514,39307	33
514,90771	-13
515,42242	-51
515,93719	-98
516,4519	-71
516,96667	-101
517,48151	-20
517,99634	-29
518,51117	-160
519,02606	16
519,54095	-33
520,05585	-94
520,5708	37
521,08575	-67
521,60077	33
522,11578	-64
522,63086	-76
523,14594	70
523,66101	6
524,17615	-13
524,69128	-123
525,20642	126
525,72162	-219
526,23682	-115
526,75208	-92
527,26733	-1
527,78259	-3
528,29791	-139
528,81329	-60
529,32861	-137
529,84399	-105
530,35944	-113
530,87488	-11
531,39032	-73
531,90582	-143
532,42133	-20
532,93683	-25
533,45239	-225
533,96796	-82
534,48358	-173
534,99921	-32
535,51483	-52
536,03052	10
536,54626	-50
537,06195	16
537,5777	-92
538,09351	49
538,60931	-34
539,12512	-143
539,64093	-7
540,1568	-213
540,67273	42
541,18866	-27
541,70459	-57
542,22058	-128
542,73657	-152
543,25256	-35
543,76862	-118
544,28467	-168
544,80078	-110
545,31689	-53
545,83301	-60
546,34918	-133
546,86536	-118
547,38159	-144
547,89783	-202
548,41412	-169
548,93036	-107
549,44672	-43
549,96301	41
550,47937	41
550,99579	-214
551,51215	-216
552,02863	2
552,54504	-153
553,06152	-1
553,57806	-25
554,0946	-96
554,61115	-185
555,12769	47
555,64429	-110
556,16095	-5
556,67761	-60
557,19427	-138
557,711	0
558,22772	-103
558,74445	-93
559,26123	-25
559,77802	51
560,29486	-82
560,81171	-41
561,32855	100
561,84546	-57
562,36237	-133
562,87933	-239
563,3963	-75
563,91327	-149
564,4303	-40
564,94733	-198
565,46442	-11
565,98151	-263
566,4986	-100
567,01575	-74
567,5329	-74
568,05011	-134
568,56732	-87
569,08453	-36
569,60181	-90
570,11908	-146
570,63641	-132
571,15369	-186
571,67108	-28
572,18848	-38
572,70587	57
573,22327	-191
573,74072	-131
574,25824	77
574,77576	-128
575,29327	17
575,81079	-114
576,32837	29
576,84601	-11
577,36359	-137
577,88129	-100
578,39893	-201
578,91663	-80
579,43439	-44
579,95209	-34
580,46985	-32
580,98767	-172
581,50549	-110
582,02332	-134
582,5412	-14
583,05908	-86
583,57703	-185
584,09497	-74
584,61292	-107
585,13092	-138
585,64893	-33
586,16699	-47
586,68506	-130
587,20313	-92
587,72125	24
588,23938	-86
588,75751	-90
589,2757	-102
589,79395	-62
590,31219	-27
590,83044	-7
591,34869	-142
591,867	-77
592,38531	-28
592,90369	-93
593,42206	-34
593,94049	-94
594,45892	-91
594,97736	-273
595,49585	-319
596,01434	-96
596,5329	-94
597,05145	-64
597,57001	-104
598,08862	-128
598,60724	-153
599,12585	-227
599,64453	-76
600,16327	83
600,68195	-197
601,20068	-176
601,71948	-195
602,23828	-179
602,75708	-38
603,27594	38
603,7948	-151
604,31372	-142
604,83258	-60
605,35156	-1
605,87054	-179
606,38953	-70
606,90851	-201
607,42755	-101
607,94659	-57
608,4657	-155
608,9848	-63
609,50397	-166
610,02313	-158
610,5423	-95
611,06152	-1
611,58075	-114
612,09998	-156
612,61926	52
613,13855	-71
613,6579	-136
614,17725	-86
614,69666	34
615,21606	-87
615,73547	-108
616,25494	-7
616,77441	-132
617,29388	-14
617,81342	-77
618,33295	18
618,85254	-194
619,37213	67
619,89178	-165
620,41144	25
620,93109	-192
621,45081	-72
621,97052	-60
622,49023	-83
623,01001	-88
623,52979	-44
624,04962	-253
624,56946	1
625,08936	331
625,60925	-28
626,12915	-125
626,64905	33
627,16907	-130
627,68903	54
628,20905	90
628,72906	-34
629,24915	-246
629,76923	-42
630,28931	-44
630,80945	-68
631,32965	-104
631,84979	-133
632,37	28
632,89026	-152
633,41052	-207
633,93079	-169
634,45111	-44
634,97144	-95
635,49176	-155
636,01215	-66
636,53253	-123
637,05298	-63
637,57343	-52
638,09387	60
638,61438	-79
639,13489	91
639,65546	-34
640,17603	-119
640,69666	6
