Date and Time:                Thu Mar 13 14:06:27.548 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
454,34375	98
454,85559	140
455,36743	436
455,8793	441
456,3912	466
456,90314	483
457,4151	597
457,92706	911
458,43906	845
458,95108	1082
459,46313	1303
459,97522	1249
460,4873	1470
460,99942	1725
461,51157	1886
462,02374	1844
462,53595	2299
463,04816	2528
463,56039	2906
464,07266	2962
464,58496	3143
465,09729	3442
465,60962	3693
466,12198	4186
466,63437	4497
467,14679	4936
467,65924	5239
468,17169	5696
468,68417	6226
469,19669	6779
469,70923	7100
470,2218	7637
470,73438	8031
471,24698	8532
471,75961	8939
472,27228	9363
472,78494	9606
473,29767	9768
473,81039	10011
474,32315	9974
474,83594	10190
475,34872	10191
475,86154	10027
476,37442	9889
476,8873	9605
477,40018	9406
477,91312	8814
478,42606	8264
478,93903	7814
479,45203	7232
479,96506	6978
480,47809	6205
480,99118	5573
481,50427	5031
482,0174	4467
482,53055	4154
483,0437	3517
483,55688	3005
484,07013	2756
484,58334	2388
485,09662	1993
485,60992	1669
486,12323	1478
486,63657	1082
487,14993	993
487,66333	920
488,17673	477
488,69016	612
489,20364	399
489,7171	140
490,23062	274
490,74417	193
491,25772	121
491,7713	35
492,28491	-87
492,79855	-66
493,31219	-54
493,82587	-148
494,33957	-103
494,8533	-120
495,36707	-236
495,88083	-167
496,39465	-257
496,90848	-260
497,42233	-178
497,93619	-95
498,4501	-297
498,96402	-151
499,47797	-412
499,99194	-278
500,50595	-39
501,01996	-215
501,534	-379
502,04807	-191
502,56216	-262
503,07629	-213
503,59042	-137
504,10458	-273
504,61877	-132
505,133	-177
505,64725	-299
506,1615	-285
506,67581	-288
507,19012	-501
507,70444	-267
508,21881	-304
508,73318	-342
509,24762	-243
509,76205	-296
510,27652	-319
510,79099	-186
511,30551	-317
511,82004	-264
512,33459	-356
512,84918	-333
513,36377	-300
513,87842	-398
514,39307	-294
514,90771	-329
515,42242	-380
515,93719	-130
516,4519	-252
516,96667	-463
517,48151	-257
517,99634	-279
518,51117	-245
519,02606	-243
519,54095	-201
520,05585	-287
520,5708	-422
521,08575	-320
521,60077	-272
522,11578	-275
522,63086	-288
523,14594	-213
523,66101	-170
524,17615	-277
524,69128	-241
525,20642	-246
525,72162	-222
526,23682	-216
526,75208	-334
527,26733	-366
527,78259	-275
528,29791	-298
528,81329	-152
529,32861	-392
529,84399	-283
530,35944	-143
530,87488	-194
531,39032	-241
531,90582	-150
532,42133	-359
532,93683	-445
533,45239	-201
533,96796	-162
534,48358	-239
534,99921	-209
535,51483	-125
536,03052	-298
536,54626	-239
537,06195	-180
537,5777	-353
538,09351	-335
538,60931	-359
539,12512	-194
539,64093	-217
540,1568	-270
540,67273	-240
541,18866	-118
541,70459	-292
542,22058	-338
542,73657	-308
543,25256	-184
543,76862	-294
544,28467	-397
544,80078	-366
545,31689	-275
545,83301	-315
546,34918	19
546,86536	-330
547,38159	-315
547,89783	-265
548,41412	-295
548,93036	-254
549,44672	-351
549,96301	-401
550,47937	-293
550,99579	-342
551,51215	-288
552,02863	-258
552,54504	-236
553,06152	-319
553,57806	-283
554,0946	-299
554,61115	-170
555,12769	-239
555,64429	-338
556,16095	-252
556,67761	-316
557,19427	-320
557,711	-271
558,22772	-299
558,74445	-386
559,26123	-313
559,77802	-396
560,29486	-225
560,81171	-311
561,32855	-400
561,84546	-221
562,36237	-383
562,87933	-378
563,3963	-220
563,91327	-233
564,4303	-320
564,94733	-287
565,46442	-440
565,98151	-337
566,4986	-200
567,01575	-144
567,5329	-257
568,05011	-234
568,56732	-369
569,08453	-169
569,60181	-274
570,11908	-258
570,63641	-269
571,15369	-347
571,67108	-194
572,18848	-345
572,70587	-207
573,22327	-258
573,74072	-259
574,25824	-266
574,77576	-124
575,29327	-308
575,81079	-268
576,32837	-315
576,84601	-264
577,36359	-347
577,88129	-183
578,39893	-266
578,91663	-290
579,43439	-314
579,95209	-482
580,46985	-397
580,98767	-255
581,50549	-369
582,02332	-93
582,5412	-400
583,05908	-319
583,57703	-259
584,09497	-198
584,61292	-420
585,13092	-300
585,64893	-261
586,16699	-93
586,68506	-206
587,20313	-376
587,72125	-216
588,23938	57
588,75751	-308
589,2757	-200
589,79395	-71
590,31219	-273
590,83044	-218
591,34869	-252
591,867	-292
592,38531	-270
592,90369	-296
593,42206	-273
593,94049	-233
594,45892	-121
594,97736	-307
595,49585	-311
596,01434	-252
596,5329	-239
597,05145	-232
597,57001	-226
598,08862	-287
598,60724	-232
599,12585	-229
599,64453	-209
600,16327	-421
600,68195	-231
601,20068	-179
601,71948	-238
602,23828	-346
602,75708	-89
603,27594	-283
603,7948	-303
604,31372	-344
604,83258	-210
605,35156	-294
605,87054	-367
606,38953	-278
606,90851	-196
607,42755	-222
607,94659	-107
608,4657	-279
608,9848	-237
609,50397	-326
610,02313	-278
610,5423	-151
611,06152	-304
611,58075	-399
612,09998	-380
612,61926	-183
613,13855	-270
613,6579	-319
614,17725	-229
614,69666	-285
615,21606	-242
615,73547	-221
616,25494	-373
616,77441	-355
617,29388	-194
617,81342	-310
618,33295	-190
618,85254	-105
619,37213	-277
619,89178	-338
620,41144	-218
620,93109	-184
621,45081	-213
621,97052	-242
622,49023	-351
623,01001	-323
623,52979	-310
624,04962	-282
624,56946	-428
625,08936	-377
625,60925	-197
626,12915	-268
626,64905	-103
627,16907	-125
627,68903	-186
628,20905	-284
628,72906	-245
629,24915	-310
629,76923	-264
630,28931	-292
630,80945	-323
631,32965	-63
631,84979	-333
632,37	-311
632,89026	-254
633,41052	-373
633,93079	-255
634,45111	-136
634,97144	-350
635,49176	-347
636,01215	-370
636,53253	-305
637,05298	-278
637,57343	-165
638,09387	-285
638,61438	-305
639,13489	-217
639,65546	-114
640,17603	-40
640,69666	-241
641,21722	-268
641,73792	-280
642,25854	-180
642,77924	-272
643,29999	-191
643,82074	-305
644,34149	-291
644,8623	-282
645,38312	-228
645,90393	-241
646,4248	-320
646,94568	-303
647,46661	-255
647,98755	-149
648,50848	-169
649,02948	-103
649,55048	-102
650,07153	-280
650,59259	-129
651,11365	-125
651,63477	12
652,15594	-128
652,67706	-55
653,19824	-48
653,71948	-60
654,24066	146
654,76196	35
655,2832	100
655,8045	208
656,32587	187
656,84723	19
657,36859	229
657,88995	24
658,41138	398
658,93286	305
659,45435	418
659,97583	458
660,49731	500
661,01886	669
661,54047	725
662,06207	670
662,58368	847
663,10529	933
663,62695	995
664,14868	1119
664,67041	1362
665,19214	1398
665,71393	1552
666,23572	1682
666,75751	1814
667,27936	1901
667,80121	2017
668,32312	2370
668,84503	2458
669,36694	2569
669,88892	2796
670,41089	3069
670,93286	3178
671,4549	3431
671,97699	3736
672,49908	4008
673,02118	4175
673,54327	4512
674,06543	4845
674,58765	5223
675,10986	5475
675,63208	5857
676,1543	6213
676,67657	6639
677,19891	6958
677,72125	7364
678,24359	7923
678,76593	8513
679,28833	8839
679,81079	9540
680,33319	9739
680,85571	10137
681,37817	10801
681,9007	11188
682,42322	11861
682,9458	12225
683,46838	12648
683,99103	13191
684,51367	13603
685,03632	14222
685,55902	14465
686,08173	15160
686,60449	15569
687,12726	14683
687,65002	16397
688,17285	16819
688,69568	17282
689,21857	17730
689,74146	18303
690,26434	18798
690,78729	19245
691,31024	19611
691,83319	20417
692,3562	21112
692,87927	21905
693,40228	22560
693,92542	23411
694,44849	24526
694,97162	25513
695,49475	26510
696,01794	27850
696,54114	29051
697,06439	30355
697,58765	31564
698,1109	32982
698,63422	34507
699,15753	36144
699,68091	38177
700,20428	39618
700,72766	41128
701,2511	42631
701,77454	44410
702,29797	46103
702,82147	47546
703,34497	48518
703,86853	49873
704,39209	50894
704,91571	52224
705,43933	52694
705,96295	53517
706,48663	54138
707,01031	54882
707,53406	55261
708,05774	56314
708,58154	56407
709,10529	56515
709,62915	56454
710,15295	55952
710,67682	54649
711,20068	53884
711,72461	52721
712,24854	51617
712,77252	50535
713,29651	49495
713,8205	47935
714,34454	46317
714,86859	44513
715,39264	43117
715,91675	41382
716,44086	39531
716,96503	37806
717,4892	35490
718,01343	33690
718,53766	31614
719,06189	29575
719,58618	27898
720,11047	26293
720,63477	24681
721,15912	22811
721,68347	21220
722,20789	19645
722,7323	18272
723,25677	16703
723,78125	15304
724,30573	14013
724,83026	12655
725,3548	11659
725,87933	10568
726,40393	9654
726,92853	8850
727,45319	7918
727,97784	7126
728,50256	6418
729,02722	5760
729,552	5041
730,07672	4520
730,6015	3994
731,12634	3693
731,65118	3328
732,17603	2925
732,70093	2758
733,22583	2286
733,75073	2029
734,2757	1842
734,80066	1620
735,32568	1433
735,85071	1365
736,37579	1308
736,90088	1260
737,42596	982
737,95105	912
738,47626	858
739,0014	650
739,52661	818
740,05182	821
740,57709	683
741,10236	623
741,62762	561
742,15295	544
742,67828	424
743,20367	318
743,72906	345
744,25452	392
744,77991	443
745,30542	402
745,83087	249
746,35638	260
746,88196	278
747,40753	147
747,93311	165
748,45874	85
748,98438	64
749,51001	104
750,03571	74
750,5614	-17
751,08716	97
751,61292	9
752,13867	-88
752,66449	-7
753,19031	-267
753,71619	-127
754,24207	-153
754,76794	-109
755,29388	-238
755,81982	-184
756,34583	-83
756,87183	-24
757,39789	-97
757,92389	-36
758,45001	-427
758,97607	-216
759,5022	-313
760,02838	-366
760,5545	-272
761,08075	-92
761,60693	-119
762,13318	-267
762,65948	-254
763,18579	-197
763,7121	-277
764,2384	-279
764,76477	-254
765,2912	-322
765,81763	-350
766,34406	-350
766,87048	-141
767,39697	-297
767,92352	-280
768,45007	-176
768,97662	-352
769,50317	-284
770,02979	-117
770,55646	-229
771,08313	-228
771,6098	-202
772,13647	-167
772,66321	-215
773,19	-229
773,7168	-239
774,24359	-251
774,77039	-293
775,29724	-231
775,82416	-156
776,35107	-172
776,87799	-172
777,40491	-176
777,93188	-217
778,45892	-204
778,98596	-332
779,513	-186
780,04004	-370
780,56714	-242
781,0943	-223
781,6214	-331
782,14862	-262
782,67578	-292
783,203	-196
783,73029	-246
784,25751	-255
784,78485	-269
785,31213	-223
785,83948	-356
786,36682	-204
786,89423	-234
787,42163	-181
787,9491	-343
788,47656	-23
789,00403	-235
789,53156	-359
790,05908	-184
790,58667	9
791,11426	-198
791,64185	-240
792,16949	-124
792,69714	-83
793,22485	-193
793,75256	-206
794,28027	-153
794,80804	-63
795,33582	-150
795,86359	-184
796,39142	-142
796,91931	-224
797,44714	-176
797,9751	-129
798,50299	-162
799,03094	-195
799,5589	-220
800,08691	-63
800,61493	-117
801,14301	-91
801,67108	-156
802,19916	-179
802,72729	-121
803,25543	-149
803,78363	62
804,31177	-167
804,84003	-161
805,36829	42
805,89655	-229
806,4248	-60
806,95313	-203
807,48145	-136
