Date and Time:                Thu Mar 13 16:28:02.347 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
474,32315	49
474,83594	20
475,34872	29
475,86154	44
476,37442	-9
476,8873	10
477,40018	29
477,91312	25
478,42606	64
478,93903	83
479,45203	43
479,96506	26
480,47809	41
480,99118	-2
481,50427	37
482,0174	45
482,53055	56
483,0437	-3
483,55688	31
484,07013	36
484,58334	28
485,09662	-4
485,60992	-25
486,12323	9
486,63657	64
487,14993	61
487,66333	20
488,17673	77
488,69016	-6
489,20364	49
489,7171	18
490,23062	11
490,74417	26
491,25772	-22
491,7713	46
492,28491	-22
492,79855	-14
493,31219	11
493,82587	23
494,33957	32
494,8533	17
495,36707	62
495,88083	54
496,39465	47
496,90848	25
497,42233	4
497,93619	12
498,4501	44
498,96402	9
499,47797	116
499,99194	28
500,50595	-13
501,01996	83
501,534	24
502,04807	11
502,56216	1
503,07629	66
503,59042	25
504,10458	42
504,61877	55
505,133	-4
505,64725	6
506,1615	-5
506,67581	18
507,19012	-21
507,70444	22
508,21881	29
508,73318	67
509,24762	42
509,76205	-12
510,27652	23
510,79099	-13
511,30551	3
511,82004	27
512,33459	40
512,84918	-1
513,36377	-20
513,87842	32
514,39307	2
514,90771	61
515,42242	6
515,93719	71
516,4519	21
516,96667	46
517,48151	18
517,99634	31
518,51117	14
519,02606	36
519,54095	46
520,05585	26
520,5708	33
521,08575	-12
521,60077	58
522,11578	-10
522,63086	52
523,14594	15
523,66101	5
524,17615	-18
524,69128	21
525,20642	13
525,72162	12
526,23682	49
526,75208	19
527,26733	25
527,78259	47
528,29791	-11
528,81329	54
529,32861	22
529,84399	17
530,35944	9
530,87488	-28
531,39032	-37
531,90582	11
532,42133	15
532,93683	36
533,45239	29
533,96796	3
534,48358	-21
534,99921	55
535,51483	18
536,03052	38
536,54626	27
