Date and Time:                Mon Mar 24 11:32:21.133 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
466,63437	45
467,14679	-5
467,65924	-72
468,17169	-68
468,68417	68
469,19669	-38
469,70923	74
470,2218	-29
470,73438	-1
471,24698	63
471,75961	7
472,27228	-66
472,78494	34
473,29767	-3
473,81039	120
474,32315	27
474,83594	-137
475,34872	5
475,86157	-15
476,37442	-168
476,8873	-44
477,40018	129
477,91312	46
478,42606	-107
478,93903	17
479,45203	-69
479,96506	9
480,47812	-195
480,99118	-8
481,50427	-9
482,0174	-36
482,53055	24
483,0437	-96
483,55692	-60
484,07013	-72
484,58337	52
485,09662	-76
485,60992	-53
486,12323	16
486,63657	-103
487,14993	3
487,66333	-16
488,17673	51
488,69019	-80
489,20364	5
489,71713	119
490,23062	55
490,74417	49
491,25772	17
491,7713	-39
492,28491	-16
492,79855	-21
493,31219	20
493,82587	-92
494,3396	59
494,8533	-106
495,36707	83
495,88086	97
496,39465	-75
496,90848	49
497,42233	33
497,93619	79
498,4501	-114
498,96402	-37
499,47797	55
499,99194	114
500,50595	-43
501,01996	-17
501,534	-102
502,04807	-145
502,56216	-81
503,07629	160
503,59042	17
504,10461	74
504,6188	-96
505,133	-67
505,64725	-3
506,1615	-5
506,67581	-138
507,19012	-115
507,70447	-71
508,21881	140
508,73322	-124
509,24762	-81
509,76205	-61
510,27652	31
510,79099	111
511,30551	56
511,82004	32
512,33459	-49
512,84918	-32
513,36377	-67
513,87842	143
514,39307	31
514,90771	7
515,42242	129
515,93719	-33
516,4519	58
516,96667	3
517,48151	-113
517,99634	16
518,51117	4
519,02606	9
519,54095	93
520,05585	35
520,5708	-73
521,08582	-39
521,60077	114
522,11578	37
522,63086	130
523,14594	53
523,66101	-77
524,17615	-25
524,69128	26
525,20642	-65
525,72162	116
526,23682	-63
526,75208	6
527,26733	61
527,78265	-51
528,29791	-104
528,81329	19
529,32861	44
529,84399	48
530,35944	-17
530,87488	-57
531,39032	16
531,90582	123
532,42133	-40
532,93683	140
533,45239	60
533,96796	111
534,48358	-64
534,99921	86
535,51489	41
536,03052	50
536,54626	-32
537,06195	-146
537,5777	30
538,09351	32
538,60931	94
539,12512	-77
539,64099	-45
540,15686	19
540,67273	-68
541,18866	26
541,70459	-63
542,22058	-42
542,73657	-17
543,25256	54
543,76862	68
544,28467	86
544,80078	25
545,31689	-80
545,83301	-75
546,34918	53
546,86536	-92
547,38159	42
547,89783	107
548,41412	-5
548,93036	-91
549,44672	-21
549,96301	15
550,47937	-28
550,99579	-26
551,51221	62
552,02863	58
552,54504	17
553,06152	93
553,57806	49
554,0946	65
554,61115	-222
555,12775	-176
555,64435	-46
556,16095	-53
556,67761	-42
557,19427	-78
557,711	-18
558,22772	27
558,74445	-7
559,26123	48
559,77802	-11
560,29486	-37
560,81171	18
561,32855	56
561,84546	85
562,36237	-11
562,87933	-13
563,3963	-131
563,91327	172
564,4303	-89
564,94733	109
565,46442	-121
565,98151	-30
566,4986	111
567,01575	-115
567,5329	46
568,05011	-8
568,56732	-3
569,08453	88
569,60181	94
570,11908	90
570,63641	-59
571,15375	65
571,67108	-49
572,18848	-102
572,70587	34
573,22333	-9
573,74078	-96
574,25824	-72
574,77576	90
575,29327	83
575,81079	-1
576,32837	-17
576,84601	-8
577,36365	-152
577,88129	100
578,39893	10
578,91663	49
579,43439	47
579,95209	97
580,46991	-41
580,98767	-141
581,50549	9
582,02332	120
582,5412	104
583,05908	-97
583,57703	238
584,09497	-51
584,61292	3
585,13092	22
585,64893	-15
586,16699	-59
586,68506	169
587,20313	56
587,72125	22
588,23938	25
588,75757	-46
589,27576	-27
589,79395	-20
590,31219	99
590,83044	54
591,34869	89
591,867	31
592,38538	-35
592,90369	116
593,42206	113
593,94049	64
594,45892	162
594,97736	-164
595,49585	20
596,01434	9
596,5329	55
597,05145	39
597,57001	24
598,08862	-40
598,60724	107
599,12585	-110
599,64453	-154
600,16327	-86
600,68195	-77
601,20074	-29
601,71948	-140
602,23828	85
602,75708	38
603,27594	90
603,7948	-50
604,31372	68
604,83264	88
605,35156	-90
605,87054	11
606,38953	1
606,90851	-30
607,42755	55
607,94666	-50
608,4657	31
608,9848	103
609,50397	98
610,02313	-141
610,5423	5
611,06152	-76
611,58075	-115
612,09998	77
612,61926	50
613,13861	-11
613,6579	-18
614,17725	145
614,69666	64
615,21606	6
615,73547	-24
616,25494	108
616,77441	151
617,29388	109
617,81342	67
618,33301	-58
618,85254	137
619,37213	-17
619,89178	-80
620,41144	241
620,93109	-34
621,45081	-4
621,97052	133
622,49023	55
623,01001	77
623,52985	28
624,04962	11
624,56946	-35
625,08936	172
625,60925	-23
626,12915	-46
626,64911	-30
627,16907	30
627,68903	18
628,20905	111
628,72906	-76
629,24915	89
629,76923	153
630,28937	-43
630,80945	6
631,32965	6
631,84979	51
632,37	62
632,89026	14
633,41052	-93
633,93079	-57
634,45111	42
634,97144	61
635,49176	48
636,01215	-49
636,53253	-19
637,05298	60
637,57343	28
638,09387	-64
638,61438	127
639,13495	92
639,65546	-51
640,17603	16
640,69666	8
641,21729	-51
641,73792	62
642,25861	84
642,7793	111
643,29999	34
643,82074	53
644,34149	127
644,8623	57
645,38312	32
645,90393	168
646,4248	-37
646,94568	62
647,46661	51
647,98755	56
648,50848	-50
649,02948	-116
649,55048	35
650,07153	45
650,59259	112
651,11371	51
651,63477	27
652,15594	69
652,67706	8
653,19824	8
653,71948	161
654,24072	69
654,76196	-3
655,2832	59
655,8045	183
656,32587	73
656,84723	-29
657,36859	-3
657,89001	-45
658,41144	107
658,93286	82
659,45435	42
659,97583	-6
660,49738	246
