Date and Time:                Mon Mar 24 12:59:07.152 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
471,75961	27
472,27228	92
472,78494	44
473,29767	-19
473,81039	48
474,32315	5
474,83594	139
475,34872	62
475,86157	68
476,37442	93
476,8873	10
477,40018	71
477,91312	135
478,42606	66
478,93903	47
479,45203	90
479,96506	72
480,47812	96
480,99118	-5
481,50427	77
482,0174	-73
482,53055	-34
483,0437	126
483,55692	103
484,07013	-17
484,58337	8
485,09662	150
485,60992	-125
486,12323	-4
486,63657	59
487,14993	65
487,66333	-4
488,17673	8
488,69019	-74
489,20364	19
489,71713	26
490,23062	-33
490,74417	-1
491,25772	-30
491,7713	42
492,28491	153
492,79855	-32
493,31219	-46
493,82587	48
494,3396	25
494,8533	77
495,36707	84
495,88086	-134
496,39465	59
496,90848	-10
497,42233	-5
497,93619	37
498,4501	80
498,96402	-90
499,47797	154
499,99194	-24
500,50595	-22
501,01996	61
501,534	5
502,04807	-21
502,56216	71
503,07629	13
503,59042	190
504,10461	-28
504,6188	36
505,133	32
505,64725	96
506,1615	53
506,67581	-7
507,19012	467
507,70447	47
508,21881	96
508,73322	129
509,24762	167
509,76205	-49
510,27652	102
510,79099	76
511,30551	159
511,82004	164
512,33459	-5
512,84918	-7
513,36377	100
513,87842	-37
514,39307	70
514,90771	165
515,42242	33
515,93719	57
516,4519	61
516,96667	155
517,48151	162
517,99634	57
518,51117	59
519,02606	-60
519,54095	94
520,05585	88
520,5708	-96
521,08582	45
521,60077	-55
522,11578	-11
522,63086	-10
523,14594	131
523,66101	31
524,17615	19
524,69128	50
525,20642	105
525,72162	52
526,23682	44
526,75208	115
527,26733	108
527,78265	54
528,29791	72
528,81329	94
529,32861	53
529,84399	-102
530,35944	53
530,87488	0
531,39032	47
531,90582	98
532,42133	86
532,93683	61
533,45239	215
533,96796	-78
534,48358	47
534,99921	65
535,51489	91
536,03052	33
536,54626	25
537,06195	57
537,5777	101
538,09351	-41
538,60931	28
539,12512	-34
539,64099	-64
540,15686	129
540,67273	-142
541,18866	80
541,70459	91
542,22058	-53
542,73657	97
543,25256	11
543,76862	115
544,28467	92
544,80078	13
545,31689	-132
545,83301	95
546,34918	-128
546,86536	133
547,38159	-24
547,89783	138
548,41412	-40
548,93036	-12
549,44672	69
549,96301	59
550,47937	77
550,99579	-66
551,51221	-28
552,02863	-6
552,54504	-20
553,06152	115
553,57806	12
554,0946	-23
554,61115	153
555,12775	158
555,64435	26
556,16095	-39
556,67761	122
557,19427	57
557,711	42
558,22772	11
558,74445	136
559,26123	30
559,77802	-33
560,29486	-6
560,81171	86
561,32855	-8
561,84546	-10
562,36237	71
562,87933	78
563,3963	18
563,91327	61
564,4303	-35
564,94733	93
565,46442	89
565,98151	94
566,4986	21
567,01575	-126
567,5329	-3
568,05011	93
568,56732	72
569,08453	75
569,60181	93
570,11908	53
570,63641	24
571,15375	28
571,67108	97
572,18848	85
572,70587	-64
573,22333	87
573,74078	-40
574,25824	11
574,77576	49
575,29327	47
575,81079	146
576,32837	218
576,84601	-15
577,36365	10
577,88129	79
578,39893	31
578,91663	127
579,43439	3
579,95209	21
580,46991	41
580,98767	7
581,50549	86
582,02332	-49
582,5412	198
583,05908	69
583,57703	71
584,09497	23
584,61292	23
585,13092	116
585,64893	8
586,16699	79
586,68506	64
587,20313	-108
587,72125	85
588,23938	126
588,75757	159
589,27576	23
589,79395	34
590,31219	3
590,83044	29
591,34869	81
591,867	89
592,38538	-13
592,90369	4
593,42206	-79
593,94049	20
594,45892	62
594,97736	31
595,49585	46
596,01434	20
596,5329	71
597,05145	-64
597,57001	-16
598,08862	91
598,60724	38
599,12585	-92
599,64453	67
600,16327	105
600,68195	-7
601,20074	40
