Date and Time:                Wed Mar 26 14:36:17.291 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	-141
262,66187	-32
263,2012	-68
263,74057	-134
264,27988	12
264,81918	-165
265,35846	-118
265,89774	-47
266,43698	-192
266,97623	-147
267,51544	-120
268,05463	-61
268,59378	11
269,13293	-81
269,67209	-144
270,21118	60
270,75031	16
271,28937	64
271,82843	10
272,36746	61
272,90649	-106
273,4455	-26
273,98447	-21
274,52344	62
275,06238	-78
275,60132	-31
276,14023	43
276,67911	-131
277,21799	-72
277,75684	-171
278,29565	-24
278,83447	-114
279,37326	92
279,91205	45
280,45081	-83
280,98953	3
281,52826	-104
282,06696	-41
282,60565	-128
283,14429	-67
283,68295	125
284,22156	-131
284,76016	-38
285,29877	10
285,83731	-180
286,37589	45
286,9144	37
287,45291	-56
287,99139	-32
288,52988	7
289,06833	-9
289,60678	-119
290,14517	-87
290,68359	-16
291,22195	-1
291,76031	-38
292,29865	-91
292,83698	-152
293,37527	-37
293,91357	-100
294,45184	-7
294,99008	-34
295,52832	-41
296,06653	-40
296,60471	-120
297,14288	-159
297,68103	-38
298,21915	80
298,75726	-77
299,29538	-206
299,83344	-100
300,37149	-129
300,90955	-58
301,44754	-81
301,98557	6
302,52353	-64
303,06149	-101
303,59946	-137
304,13736	-131
304,67526	-62
305,21317	26
305,75104	-70
306,28888	-245
306,82672	123
307,36453	-84
307,90231	-34
308,44009	-68
308,97784	-23
309,51556	-179
310,05328	19
310,591	4
311,12866	-19
311,66632	-58
312,20398	-25
312,74158	-117
313,27921	31
313,81677	7
314,35434	-62
314,89188	88
315,42941	-9
315,96692	-197
316,50443	76
317,0419	-141
317,57935	-1
318,11676	-146
318,65417	34
319,19159	-127
319,72894	-166
320,26633	-46
320,80365	-80
321,34097	-14
321,87827	-97
322,41556	-104
322,95282	-69
323,49005	-26
324,02728	-95
324,56448	5
325,10168	-106
325,63885	34
326,17599	-127
326,71313	-84
327,25024	-89
327,78732	-81
328,3244	-120
328,86145	-115
329,3985	35
329,93552	-34
330,4725	-69
331,00949	-8
331,54645	41
332,0834	-23
332,62033	-62
333,15723	-55
333,69409	-158
334,23099	-12
334,76782	-86
335,30466	-46
335,84146	-5
