Date and Time:                Wed Mar 26 09:14:40.847 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



262,12247	0
262,66187	80
263,2012	11
263,74057	90
264,27988	-45
264,81918	33
265,35846	-75
265,89774	1
266,43698	-51
266,97623	-61
267,51544	-32
268,05463	64
268,59378	94
269,13293	-47
269,67209	38
270,21118	-186
270,75031	32
271,28937	92
271,82843	58
272,36746	-106
272,90649	-99
273,4455	-14
273,98447	24
274,52344	399
275,06238	-93
275,60132	-164
276,14023	-46
276,67911	84
277,21799	88
277,75684	-53
278,29565	-129
278,83447	164
279,37326	169
279,91205	-247
280,45081	22
280,98953	40
281,52826	-5
282,06696	78
282,60565	103
283,14429	-110
283,68295	11
284,22156	-57
284,76016	14
285,29877	62
285,83731	-52
286,37589	64
286,9144	-17
287,45291	105
287,99139	29
288,52988	23
289,06833	-145
289,60678	37
290,14517	-65
290,68359	-23
291,22195	-59
291,76031	-88
292,29865	31
292,83698	154
293,37527	-16
293,91357	29
294,45184	-73
294,99008	-5
295,52832	-76
296,06653	54
296,60471	-9
297,14288	9
297,68103	-36
298,21915	-8
298,75726	113
299,29538	140
299,83344	-77
300,37149	62
300,90955	-133
301,44754	33
301,98557	4
302,52353	-58
303,06149	120
303,59946	-42
304,13736	-64
304,67526	99
305,21317	42
305,75104	-57
306,28888	9
306,82672	84
307,36453	-96
307,90231	51
308,44009	17
308,97784	-61
309,51556	-74
310,05328	-63
310,591	-8
311,12866	54
311,66632	-5
312,20398	63
312,74158	-61
313,27921	-3
313,81677	-101
314,35434	181
314,89188	-68
315,42941	19
315,96692	29
316,50443	44
317,0419	-14
317,57935	41
318,11676	77
318,65417	49
319,19159	61
319,72894	49
320,26633	-37
320,80365	95
321,34097	-59
321,87827	-105
322,41556	-93
322,95282	2
323,49005	29
324,02728	83
324,56448	97
325,10168	10
325,63885	-41
326,17599	1
326,71313	8
327,25024	-103
327,78732	55
328,3244	-52
328,86145	-185
329,3985	21
329,93552	101
330,4725	129
331,00949	42
331,54645	-28
332,0834	98
332,62033	79
333,15723	-123
333,69409	-136
334,23099	-42
334,76782	-73
335,30466	4
335,84146	-78
336,37823	6
336,91501	87
337,45178	-65
337,98849	-166
338,52521	6
339,06192	-110
