Date and Time:                Fri Mar 21 12:21:07.842 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
476,8873	49
477,40018	41
477,91312	207
478,42606	236
478,93903	55
479,45203	146
479,96506	209
480,47812	45
480,99118	44
481,50427	168
482,0174	259
482,53055	163
483,0437	64
483,55692	153
484,07013	-4
484,58337	16
485,09662	84
485,60992	168
486,12323	62
486,63657	10
487,14993	9
487,66333	21
488,17673	120
488,69019	-3
489,20364	120
489,71713	133
490,23062	145
490,74417	95
491,25772	183
491,7713	64
492,28491	130
492,79855	95
493,31219	38
493,82587	63
494,3396	110
494,8533	165
495,36707	180
495,88086	77
496,39465	49
496,90848	118
497,42233	234
497,93619	100
498,4501	193
498,96402	57
499,47797	246
499,99194	295
500,50595	158
501,01996	91
501,534	1173
502,04807	12
502,56216	73
503,07629	182
503,59042	120
504,10461	72
504,6188	202
505,133	120
505,64725	130
506,1615	117
506,67581	241
507,19012	-422
507,70447	183
508,21881	188
508,73322	103
509,24762	126
509,76205	24
510,27652	83
510,79099	159
511,30551	49
511,82004	144
512,33459	-11
512,84918	34
513,36377	-103
513,87842	90
514,39307	8
514,90771	142
515,42242	285
515,93719	78
516,4519	224
516,96667	251
517,48151	107
517,99634	260
518,51117	197
519,02606	138
519,54095	221
520,05585	247
520,5708	109
521,08582	241
521,60077	165
522,11578	81
522,63086	247
523,14594	201
523,66101	212
524,17615	81
524,69128	91
525,20642	134
525,72162	108
526,23682	98
526,75208	19
527,26733	93
527,78265	113
528,29791	135
528,81329	202
529,32861	-11
529,84399	158
530,35944	107
530,87488	172
531,39032	141
531,90582	172
532,42133	100
532,93683	159
533,45239	111
533,96796	170
534,48358	17
534,99921	119
535,51489	-42
536,03052	156
536,54626	140
537,06195	156
537,5777	113
538,09351	32
538,60931	141
539,12512	145
539,64099	221
540,15686	127
540,67273	128
541,18866	116
541,70459	196
542,22058	83
542,73657	111
543,25256	60
543,76862	141
544,28467	214
544,80078	91
545,31689	56
545,83301	13
546,34918	157
546,86536	37
547,38159	127
547,89783	144
548,41412	49
548,93036	184
549,44672	235
549,96301	103
550,47937	212
550,99579	236
551,51221	104
552,02863	13
552,54504	75
553,06152	227
553,57806	209
554,0946	78
554,61115	141
555,12775	233
555,64435	210
556,16095	138
556,67761	121
557,19427	240
557,711	223
558,22772	92
558,74445	119
559,26123	114
559,77802	95
560,29486	29
560,81171	140
561,32855	-47
561,84546	156
562,36237	87
562,87933	150
563,3963	191
563,91327	203
564,4303	115
564,94733	217
565,46442	199
565,98151	136
566,4986	17
567,01575	88
567,5329	122
568,05011	122
568,56732	65
569,08453	115
569,60181	256
570,11908	73
570,63641	193
571,15375	288
571,67108	29
572,18848	238
572,70587	110
573,22333	26
573,74078	76
574,25824	115
574,77576	248
575,29327	183
575,81079	126
576,32837	153
576,84601	136
577,36365	42
577,88129	199
578,39893	101
578,91663	72
579,43439	237
579,95209	24
580,46991	199
580,98767	160
581,50549	140
582,02332	78
582,5412	216
583,05908	38
583,57703	100
584,09497	28
584,61292	333
585,13092	181
585,64893	210
586,16699	126
586,68506	148
587,20313	96
587,72125	197
588,23938	-32
588,75757	64
589,27576	205
589,79395	137
590,31219	79
590,83044	40
591,34869	93
591,867	-27
592,38538	153
592,90369	176
593,42206	276
593,94049	127
594,45892	150
594,97736	237
595,49585	170
596,01434	276
596,5329	110
597,05145	252
597,57001	94
598,08862	206
598,60724	76
599,12585	136
599,64453	206
600,16327	143
600,68195	314
601,20074	253
601,71948	74
602,23828	47
602,75708	225
603,27594	154
603,7948	284
604,31372	143
604,83264	224
605,35156	131
605,87054	101
606,38953	114
606,90851	146
607,42755	271
607,94666	69
608,4657	204
608,9848	218
609,50397	267
610,02313	218
610,5423	182
611,06152	246
611,58075	132
612,09998	141
612,61926	152
613,13861	139
613,6579	192
614,17725	105
614,69666	174
615,21606	124
615,73547	278
616,25494	133
616,77441	-23
617,29388	202
617,81342	179
618,33301	244
618,85254	196
619,37213	281
619,89178	181
620,41144	138
620,93109	36
621,45081	232
621,97052	288
622,49023	140
623,01001	138
623,52985	346
624,04962	322
624,56946	114
625,08936	207
625,60925	349
626,12915	301
626,64911	269
627,16907	310
627,68903	212
628,20905	186
628,72906	214
629,24915	290
629,76923	224
630,28937	217
630,80945	226
631,32965	62
631,84979	164
632,37	239
632,89026	242
633,41052	404
633,93079	245
634,45111	174
634,97144	225
635,49176	285
636,01215	419
636,53253	238
637,05298	269
637,57343	139
638,09387	293
638,61438	217
639,13495	304
639,65546	347
640,17603	234
640,69666	228
641,21729	299
641,73792	242
642,25861	303
642,7793	324
643,29999	252
643,82074	228
644,34149	280
644,8623	335
645,38312	330
645,90393	242
646,4248	331
646,94568	236
647,46661	345
647,98755	319
648,50848	348
649,02948	326
649,55048	377
650,07153	422
650,59259	314
651,11371	479
651,63477	498
652,15594	349
652,67706	413
653,19824	361
653,71948	325
654,24072	355
654,76196	402
655,2832	302
655,8045	317
656,32587	399
656,84723	491
657,36859	499
657,89001	287
658,41144	415
658,93286	455
659,45435	341
659,97583	381
660,49738	472
661,01892	479
661,54047	237
662,06207	352
662,58368	433
663,10535	507
663,62701	418
664,14868	473
664,67041	431
665,19214	469
665,71393	488
666,23572	410
666,75751	428
667,27936	452
667,80121	478
668,32312	504
668,84503	999
669,36694	531
669,88892	495
670,41089	673
670,93292	465
671,45496	660
671,97699	578
672,49908	700
673,02118	556
673,54333	631
674,06549	567
674,58765	656
675,10986	648
675,63208	692
676,15436	804
676,67664	773
677,19891	768
677,72125	665
678,24359	762
678,76593	818
679,28833	797
679,81079	767
680,33325	807
680,85571	980
681,37817	972
681,9007	1078
682,42328	1005
682,9458	1020
683,46844	1237
683,99103	1038
684,51367	1196
685,03632	1188
685,55902	1314
686,08173	1089
686,60449	1408
687,12726	2634
687,65002	1464
688,17285	1539
688,69568	1556
689,21857	1517
689,74146	1718
690,26434	1724
690,78729	1825
691,31024	1974
691,83325	1972
692,35626	2190
692,87927	2231
693,40234	2464
693,92542	2381
694,44849	2757
694,97162	2861
695,49481	3030
696,01794	3236
696,54114	3557
697,06439	3718
697,58765	4038
698,1109	4307
698,63422	4870
699,15753	6060
699,68091	9183
700,20428	14714
700,72766	21433
701,2511	29295
701,77454	38295
702,29797	46070
702,82147	50193
703,34503	54572
703,86853	57928
704,39215	61336
704,91571	62444
705,43933	63515
705,96295	63939
706,48663	62217
707,01031	60595
707,53406	59801
708,0578	57581
708,58154	55351
709,10535	52987
709,62915	48972
710,15295	44224
710,67682	38310
711,20074	29945
711,72461	22923
712,24854	17988
712,77252	14009
713,29651	10473
713,8205	8077
714,34454	6254
714,86859	5533
715,39264	4839
715,91675	4255
716,44092	3944
716,96503	3666
717,4892	3417
718,01343	3159
718,53766	3199
719,06189	2782
719,58618	2807
720,11047	2795
720,63477	2608
721,15912	2530
721,68353	2489
722,20789	2670
722,7323	2361
723,25677	2399
723,78125	2045
724,30573	1965
724,83026	1797
725,3548	1730
725,87933	1700
726,40393	1638
726,92859	1385
727,45319	1579
727,97784	1405
728,50256	1526
729,02728	1403
729,552	1318
730,07678	1252
730,60156	1416
731,12634	1166
731,65118	1016
732,17603	1223
732,70093	1093
733,22583	1096
733,75079	861
734,2757	979
734,80072	971
735,32568	964
735,85071	938
736,37579	881
736,90088	813
737,42596	778
737,95111	886
738,47626	713
739,0014	836
739,52661	847
740,05182	702
740,57709	677
741,10236	817
741,62769	687
742,15295	624
742,67834	686
743,20367	708
743,72906	512
744,25452	661
744,77997	780
745,30542	586
745,83093	575
746,35645	593
746,88196	626
747,40753	618
747,93311	498
748,45874	492
748,98438	519
749,51001	448
750,03571	552
750,5614	522
751,08716	501
751,61292	491
752,13867	459
752,66449	586
753,19037	607
753,71619	598
754,24207	539
754,76801	308
755,29388	406
755,81989	480
756,34583	483
756,87183	436
757,39789	433
757,92395	497
758,45001	509
758,97607	398
759,5022	358
760,02838	543
760,55457	365
761,08075	345
761,60699	304
762,13324	443
762,65948	340
763,18579	303
763,7121	406
764,23846	333
764,76483	418
765,2912	385
765,81763	378
766,34406	408
766,87054	404
767,39703	363
767,92352	422
768,45007	281
768,97662	457
769,50323	454
770,02985	249
770,55646	465
771,08313	328
771,6098	289
772,13654	278
772,66327	381
773,19	402
773,7168	234
774,24359	249
774,77045	366
775,2973	432
775,82416	252
776,35107	272
776,87799	288
777,40497	410
777,93195	373
778,45892	370
778,98596	256
779,513	273
780,0401	236
780,5672	266
781,0943	298
781,62146	132
782,14862	215
782,67578	282
783,203	189
783,73029	372
784,25757	113
784,78485	352
785,31213	370
785,83948	458
786,36688	129
786,89423	226
787,42169	293
787,9491	217
788,47656	133
789,00409	305
789,53156	341
790,05908	249
790,58667	361
791,11426	281
791,64185	318
792,16949	309
792,69714	143
793,22485	378
793,75256	178
794,28027	294
794,80804	276
795,33582	187
795,86365	266
796,39148	214
796,91931	287
797,4472	80
797,9751	331
798,50299	285
799,03094	222
799,55896	225
800,08691	123
800,61499	273
801,14301	292
801,67108	143
802,19916	124
802,72729	194
803,25543	210
803,78363	208
804,31183	112
804,84003	313
805,36829	195
805,89655	59
806,4248	188
806,95313	96
807,48151	-9
808,00983	203
808,53827	247
809,06665	150
809,59509	202
810,12354	70
810,65204	226
811,18054	309
811,70911	142
812,23767	239
812,76624	34
813,29486	227
813,82349	0
814,35211	335
814,8808	38
815,40955	198
815,93823	122
816,46698	156
816,99579	114
817,5246	94
818,05341	34
818,58228	207
819,11115	139
819,64001	169
820,16895	177
820,69794	76
821,22687	294
821,75586	53
822,28491	23
822,81396	143
823,34302	48
823,87213	141
824,40125	241
824,93036	81
825,45953	115
825,98877	330
826,51794	199
827,04718	192
827,57648	237
828,10577	168
828,63507	107
829,16443	133
829,69379	169
830,22314	185
830,75256	210
831,28204	118
831,81146	156
832,34094	298
832,87048	170
833,40002	40
833,92957	277
834,45917	-205
834,98877	176
835,51837	2
836,04803	121
836,5777	518
837,10742	118
837,63715	267
838,16693	240
838,69666	157
839,2265	36
839,75629	6
840,28613	274
840,81604	196
841,34595	182
841,87585	83
842,40582	95
842,93579	88
843,46576	-58
843,99579	168
844,52582	135
845,05591	165
845,586	121
846,11615	200
846,64624	151
847,17645	1
847,7066	195
848,23682	310
848,76709	143
849,29736	194
849,82764	89
850,35797	47
850,88831	175
851,41864	118
851,94904	78
852,47943	137
853,00989	191
853,54034	195
854,0708	166
854,60132	158
855,13184	156
855,66241	177
856,19299	32
856,72357	167
857,25421	142
857,78491	19
858,31555	20
858,84625	226
859,37701	274
859,90771	195
860,43854	73
860,9693	186
861,50012	104
862,03101	62
862,56189	67
863,09277	60
863,62366	186
864,15466	153
864,68561	126
865,21661	199
865,74762	108
866,27869	87
866,80975	217
867,34082	112
867,87195	205
868,40308	113
868,93427	206
869,46545	139
869,99664	191
870,52789	229
871,05914	212
871,59045	216
872,12177	64
872,65308	140
873,18445	140
873,71582	56
874,24725	99
874,77869	120
875,31012	160
875,84161	171
876,37311	164
876,90466	300
877,43622	223
877,96777	73
878,49939	93
879,03101	399
879,56268	120
880,09436	95
880,62604	54
881,15778	221
881,68951	190
882,22131	43
882,75311	152
883,28491	164
883,81677	68
884,34863	152
884,88055	189
885,41248	182
885,9444	90
