Date and Time:                Fri Mar 21 10:34:36.524 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
461,51157	18
462,02374	93
462,53595	-27
463,04816	-147
463,56039	-66
464,07266	-130
464,58496	74
465,09729	36
465,60962	6
466,12198	-33
466,63437	-93
467,14679	-56
467,65924	-54
468,17169	37
468,68417	12
469,19669	-90
469,70923	-3
470,2218	78
470,73438	-58
471,24698	-38
471,75961	-83
472,27228	-129
472,78494	-39
473,29767	71
473,81039	97
474,32315	-30
474,83594	81
475,34872	-52
475,86157	-141
476,37442	17
476,8873	61
477,40018	-82
477,91312	-89
478,42606	-34
478,93903	-102
479,45203	-41
479,96506	-34
480,47812	-61
480,99118	-61
481,50427	23
482,0174	-56
482,53055	-74
483,0437	24
483,55692	43
484,07013	-9
484,58337	99
485,09662	60
485,60992	29
486,12323	-166
486,63657	-90
487,14993	38
487,66333	29
488,17673	-1
488,69019	-114
489,20364	-129
489,71713	134
490,23062	-129
490,74417	40
491,25772	-111
491,7713	84
492,28491	-155
492,79855	112
493,31219	-79
493,82587	25
494,3396	-10
494,8533	-19
495,36707	-89
495,88086	-113
496,39465	13
496,90848	50
497,42233	30
497,93619	-111
498,4501	-13
498,96402	-55
499,47797	-52
499,99194	-8
500,50595	20
501,01996	30
501,534	-114
502,04807	-70
502,56216	-175
503,07629	9
503,59042	18
504,10461	-18
504,6188	-62
505,133	-62
505,64725	-153
506,1615	-26
506,67581	-4
507,19012	-113
507,70447	-7
508,21881	-35
508,73322	68
509,24762	-48
509,76205	-91
510,27652	-72
510,79099	-117
511,30551	-30
511,82004	-91
512,33459	128
512,84918	19
513,36377	-46
513,87842	20
514,39307	-66
514,90771	-76
515,42242	4
515,93719	-82
516,4519	-2
516,96667	-79
517,48151	19
517,99634	-117
518,51117	21
519,02606	-67
519,54095	-96
520,05585	55
520,5708	-104
521,08582	56
521,60077	-170
522,11578	3
522,63086	-32
523,14594	6
523,66101	-113
524,17615	25
524,69128	17
525,20642	-103
525,72162	46
526,23682	69
526,75208	-98
527,26733	-98
527,78265	109
528,29791	-113
528,81329	-14
529,32861	36
529,84399	-56
530,35944	-176
530,87488	19
531,39032	20
531,90582	-88
532,42133	45
532,93683	50
533,45239	-64
533,96796	-23
534,48358	-54
534,99921	40
535,51489	-7
536,03052	-19
536,54626	64
537,06195	-199
537,5777	-104
538,09351	10
538,60931	-18
539,12512	-161
539,64099	11
540,15686	-213
540,67273	13
541,18866	72
541,70459	14
542,22058	-44
542,73657	33
543,25256	-85
543,76862	46
544,28467	60
544,80078	61
545,31689	3
545,83301	-90
546,34918	-57
546,86536	8
547,38159	-74
547,89783	-33
548,41412	0
548,93036	-64
549,44672	95
549,96301	-41
550,47937	-60
550,99579	51
551,51221	-99
552,02863	-132
552,54504	6
553,06152	41
553,57806	1
554,0946	34
554,61115	20
555,12775	71
555,64435	-106
556,16095	162
556,67761	0
557,19427	66
557,711	-48
558,22772	5
558,74445	80
559,26123	-33
559,77802	37
560,29486	92
560,81171	-7
561,32855	-178
561,84546	-63
562,36237	-167
562,87933	-88
563,3963	25
563,91327	-138
564,4303	-19
564,94733	-64
565,46442	-94
565,98151	-23
566,4986	-1
567,01575	-13
567,5329	18
568,05011	-11
568,56732	-105
569,08453	-171
569,60181	-167
570,11908	88
570,63641	-155
571,15375	101
571,67108	25
572,18848	-66
572,70587	-48
573,22333	-131
573,74078	40
574,25824	99
574,77576	0
575,29327	57
575,81079	-14
576,32837	16
576,84601	-4
577,36365	-36
577,88129	11
578,39893	-29
