Date and Time:                Tue Mar 18 13:27:45.491 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
459,46313	990
459,97522	1028
460,4873	1236
460,99942	1309
461,51157	1432
462,02374	1345
462,53595	1545
463,04816	1747
463,56039	1697
464,07266	1874
464,58496	1768
465,09729	1833
465,60962	2181
466,12198	2274
466,63437	2524
467,14679	2798
467,65924	2824
468,17169	3124
468,68417	3192
469,19669	3318
469,70923	3650
470,2218	3809
470,73438	3770
471,24698	3864
471,75961	3986
472,27228	3955
472,78494	3706
473,29767	3385
473,81039	3285
474,32315	3080
474,83594	2854
475,34872	2758
475,86157	2427
476,37442	2227
476,8873	2099
477,40018	2012
477,91312	1678
478,42606	1617
478,93903	1544
479,45203	1378
479,96506	1277
480,47812	1376
480,99118	1271
481,50427	1497
482,0174	1505
482,53055	1733
483,0437	1940
483,55692	2189
484,07013	2326
484,58337	2577
485,09662	2961
485,60992	3661
486,12323	3945
486,63657	4570
487,14993	5366
487,66333	6284
488,17673	7540
488,69019	8629
489,20364	9545
489,71713	10698
490,23062	12901
490,74417	15628
491,25772	18134
491,7713	20012
492,28491	21750
492,79855	25144
493,31219	30973
493,82587	36712
494,3396	40650
494,8533	43155
495,36707	45354
495,88086	50877
496,39465	58147
496,90848	62866
497,42233	61002
497,93619	53429
498,4501	40934
498,96402	32502
499,47797	33370
499,99194	39540
500,50595	42818
501,01996	40547
501,534	37124
502,04807	41597
502,56216	57625
503,07629	76214
503,59042	88963
504,10461	91885
504,6188	88186
505,133	83178
505,64725	78704
506,1615	73147
506,67581	60227
507,19012	41307
507,70447	24462
508,21881	14203
508,73322	11623
509,24762	14006
509,76205	17594
510,27652	20167
510,79099	21565
511,30551	23288
511,82004	26457
512,33459	32540
512,84918	39724
513,36377	44469
513,87842	44357
514,39307	37059
514,90771	26361
515,42242	15679
515,93719	8528
516,4519	4430
516,96667	2853
517,48151	2625
517,99634	2725
518,51117	2528
519,02606	2748
519,54095	3562
520,05585	5428
520,5708	9449
521,08582	14972
521,60077	21532
522,11578	27418
522,63086	31266
523,14594	33597
523,66101	32575
524,17615	28290
524,69128	22670
525,20642	16338
525,72162	11258
526,23682	6999
526,75208	3709
527,26733	1700
527,78265	808
528,29791	500
528,81329	541
529,32861	275
529,84399	293
530,35944	495
530,87488	544
531,39032	696
531,90582	1106
532,42133	1612
532,93683	2154
533,45239	2688
533,96796	2870
534,48358	2944
534,99921	2711
535,51489	2700
536,03052	2199
536,54626	1896
537,06195	1248
537,5777	1130
538,09351	718
538,60931	352
539,12512	220
539,64099	187
540,15686	106
540,67273	168
541,18866	97
541,70459	63
542,22058	32
542,73657	129
543,25256	176
543,76862	207
544,28467	278
544,80078	63
545,31689	266
545,83301	68
546,34918	91
