Date and Time:                Mon Mar 17 13:26:05.839 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
466,12198	642
466,63437	380
467,14679	694
467,65924	954
468,17169	885
468,68417	1051
469,19669	942
469,70923	1122
470,2218	1151
470,73438	1213
471,24698	1125
471,75961	1164
472,27228	1216
472,78494	1244
473,29767	1152
473,81039	1218
474,32315	1002
474,83594	886
475,34872	918
475,86154	781
476,37442	710
476,8873	722
477,40018	638
477,91312	538
478,42606	457
478,93903	351
479,45203	454
479,96506	319
480,47809	341
480,99118	89
481,50427	112
482,0174	206
482,53055	175
483,0437	142
483,55688	185
484,07013	49
484,58334	-22
485,09662	46
485,60992	166
486,12323	-63
486,63657	67
487,14993	100
487,66333	-86
488,17673	74
488,69016	37
489,20364	-102
489,7171	80
490,23062	54
490,74417	86
491,25772	26
491,7713	20
492,28491	10
492,79855	22
493,31219	-47
493,82587	-48
494,33957	136
494,8533	-48
495,36707	126
495,88083	-117
496,39465	-26
496,90848	6
497,42233	25
497,93619	-105
498,4501	164
498,96402	203
499,47797	-266
499,99194	38
500,50595	-40
501,01996	50
501,534	-49
502,04807	24
502,56216	84
503,07629	-68
503,59042	4
504,10458	193
504,61877	-74
505,133	156
505,64725	16
506,1615	32
506,67581	10
507,19012	34
507,70444	-6
508,21881	7
508,73318	158
509,24762	88
509,76205	38
510,27652	98
510,79099	-51
511,30551	67
511,82004	96
512,33459	148
512,84918	59
513,36377	-73
513,87842	120
514,39307	43
514,90771	138
515,42242	60
515,93719	111
516,4519	129
516,96667	-58
517,48151	-32
517,99634	84
518,51117	-95
519,02606	95
519,54095	-133
520,05585	-20
520,5708	8
521,08575	99
521,60077	137
522,11578	16
522,63086	130
523,14594	17
523,66101	63
524,17615	11
524,69128	68
525,20642	-37
525,72162	6
526,23682	-154
526,75208	144
527,26733	109
527,78259	27
528,29791	85
528,81329	57
529,32861	114
529,84399	-14
530,35944	-60
530,87488	-39
531,39032	88
531,90582	48
532,42133	69
532,93683	118
533,45239	50
533,96796	-27
534,48358	-27
534,99921	59
535,51483	-103
536,03052	-8
536,54626	29
537,06195	32
537,5777	3
538,09351	74
538,60931	-46
539,12512	48
539,64093	34
540,1568	46
540,67273	-43
541,18866	13
541,70459	78
542,22058	-1
542,73657	-105
543,25256	62
543,76862	31
544,28467	20
544,80078	-60
545,31689	14
545,83301	-21
546,34918	9
546,86536	51
547,38159	-45
547,89783	-38
548,41412	2
548,93036	-16
549,44672	-42
549,96301	116
550,47937	-50
550,99579	35
551,51215	-100
552,02863	63
552,54504	90
553,06152	231
553,57806	108
554,0946	18
554,61115	198
555,12769	-45
555,64429	139
556,16095	148
556,67761	30
557,19427	73
557,711	-3
558,22772	-5
558,74445	57
559,26123	46
559,77802	151
560,29486	-10
560,81171	176
561,32855	23
561,84546	193
562,36237	19
562,87933	144
563,3963	118
563,91327	48
564,4303	-75
564,94733	11
565,46442	99
565,98151	89
566,4986	178
567,01575	164
567,5329	133
568,05011	-55
568,56732	55
569,08453	115
569,60181	138
570,11908	-21
570,63641	93
571,15369	-57
571,67108	75
572,18848	175
572,70587	272
573,22327	30
573,74072	68
574,25824	117
574,77576	91
575,29327	83
575,81079	89
576,32837	176
576,84601	-19
577,36359	88
577,88129	58
578,39893	64
578,91663	10
579,43439	70
579,95209	-25
580,46985	-25
580,98767	25
581,50549	80
582,02332	140
582,5412	-45
583,05908	57
583,57703	29
584,09497	107
584,61292	-66
585,13092	-74
585,64893	-22
586,16699	85
586,68506	2
587,20313	46
587,72125	29
588,23938	15
588,75751	25
589,2757	109
589,79395	28
590,31219	94
590,83044	68
591,34869	93
591,867	86
592,38531	73
592,90369	5
593,42206	24
593,94049	37
594,45892	74
594,97736	7
