Date and Time:                Wed Mar 19 11:16:40.547 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
462,02374	12306
462,53595	13653
463,04816	15042
463,56039	15797
464,07266	17071
464,58496	18294
465,09729	19362
465,60962	20345
466,12198	21195
466,63437	21960
467,14679	23016
467,65924	24232
468,17169	24926
468,68417	25509
469,19669	26049
469,70923	26710
470,2218	26441
470,73438	25843
471,24698	25327
471,75961	25681
472,27228	26452
472,78494	27621
473,29767	27307
473,81039	26111
474,32315	23918
474,83594	22264
475,34872	20955
475,86157	20115
476,37442	19271
476,8873	18299
477,40018	16535
477,91312	14809
478,42606	13511
478,93903	12368
479,45203	11189
479,96506	9685
480,47812	8526
480,99118	7224
481,50427	6024
482,0174	5172
482,53055	4456
483,0437	3951
483,55692	3482
484,07013	2994
484,58337	2569
485,09662	2199
485,60992	1871
486,12323	1652
486,63657	1136
487,14993	1142
487,66333	1032
488,17673	866
488,69019	798
489,20364	640
489,71713	639
490,23062	511
490,74417	406
491,25772	403
491,7713	479
492,28491	286
492,79855	199
493,31219	259
493,82587	268
494,3396	206
494,8533	115
495,36707	109
495,88086	195
496,39465	33
496,90848	122
497,42233	22
497,93619	182
498,4501	86
498,96402	132
499,47797	112
499,99194	-4
500,50595	121
501,01996	89
501,534	23
502,04807	155
502,56216	124
503,07629	229
503,59042	-75
504,10461	62
504,6188	134
505,133	57
505,64725	94
506,1615	34
506,67581	128
507,19012	131
507,70447	-21
508,21881	-48
508,73322	178
509,24762	61
509,76205	77
510,27652	91
510,79099	62
511,30551	130
511,82004	137
512,33459	65
512,84918	99
513,36377	51
513,87842	169
514,39307	62
514,90771	78
515,42242	67
515,93719	41
516,4519	-14
516,96667	37
517,48151	156
517,99634	53
518,51117	26
519,02606	231
519,54095	158
520,05585	132
520,5708	294
521,08582	51
521,60077	8
522,11578	98
522,63086	70
523,14594	-50
523,66101	84
524,17615	42
524,69128	212
525,20642	130
525,72162	52
526,23682	-10
526,75208	160
527,26733	-147
527,78265	156
528,29791	43
528,81329	144
529,32861	-31
529,84399	201
530,35944	-60
530,87488	49
531,39032	94
531,90582	100
532,42133	67
532,93683	119
533,45239	8
533,96796	-50
534,48358	151
534,99921	15
535,51489	-48
536,03052	103
536,54626	69
537,06195	145
537,5777	-103
538,09351	149
538,60931	58
539,12512	192
539,64099	120
540,15686	13
540,67273	121
541,18866	5
541,70459	39
542,22058	40
542,73657	-8
543,25256	-7
543,76862	12
544,28467	79
544,80078	119
545,31689	-119
545,83301	17
546,34918	33
546,86536	48
547,38159	28
547,89783	247
548,41412	123
548,93036	37
549,44672	111
549,96301	244
550,47937	177
550,99579	156
551,51221	69
552,02863	69
552,54504	123
553,06152	89
553,57806	9
554,0946	89
554,61115	136
555,12775	116
555,64435	126
556,16095	160
556,67761	145
557,19427	21
557,711	75
558,22772	117
558,74445	187
559,26123	2
559,77802	150
560,29486	200
560,81171	104
561,32855	39
561,84546	81
562,36237	133
562,87933	-9
563,3963	54
563,91327	58
564,4303	174
564,94733	-7
565,46442	158
565,98151	115
566,4986	65
567,01575	78
567,5329	133
568,05011	117
568,56732	80
569,08453	274
569,60181	76
570,11908	81
570,63641	17
571,15375	41
571,67108	181
572,18848	102
572,70587	138
573,22333	172
573,74078	198
574,25824	161
574,77576	133
575,29327	56
575,81079	214
576,32837	185
576,84601	194
577,36365	275
577,88129	70
578,39893	79
578,91663	133
579,43439	124
579,95209	122
580,46991	77
580,98767	167
581,50549	199
582,02332	53
582,5412	205
583,05908	143
583,57703	49
584,09497	189
584,61292	177
585,13092	253
585,64893	128
586,16699	239
586,68506	102
587,20313	186
587,72125	130
588,23938	203
588,75757	225
589,27576	228
589,79395	258
590,31219	341
