Date and Time:                Mon Mar 17 14:59:39.813 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
465,60962	225
466,12198	313
466,63437	417
467,14679	275
467,65924	564
468,17169	482
468,68417	577
469,19669	671
469,70923	672
470,2218	577
470,73438	709
471,24698	738
471,75961	797
472,27228	710
472,78494	741
473,29767	634
473,81039	727
474,32315	639
474,83594	708
475,34872	600
475,86154	527
476,37442	437
476,8873	409
477,40018	332
477,91312	255
478,42606	204
478,93903	249
479,45203	174
479,96506	387
480,47809	244
480,99118	149
481,50427	168
482,0174	194
482,53055	141
483,0437	97
483,55688	102
484,07013	8
484,58334	114
485,09662	80
485,60992	70
486,12323	73
486,63657	88
487,14993	144
487,66333	37
488,17673	-29
488,69016	75
489,20364	93
489,7171	0
490,23062	155
490,74417	36
491,25772	-108
491,7713	14
492,28491	-78
492,79855	48
493,31219	56
493,82587	25
494,33957	176
494,8533	98
495,36707	43
495,88083	205
496,39465	145
496,90848	-3
497,42233	-73
497,93619	-27
498,4501	166
498,96402	-25
499,47797	150
499,99194	-27
500,50595	237
501,01996	75
501,534	-42
502,04807	123
502,56216	55
503,07629	174
503,59042	42
504,10458	-60
504,61877	66
505,133	108
505,64725	99
506,1615	71
506,67581	44
507,19012	-207
507,70444	-80
508,21881	-41
508,73318	9
509,24762	33
509,76205	59
510,27652	23
510,79099	-40
511,30551	122
511,82004	-48
512,33459	77
512,84918	12
513,36377	43
513,87842	5
514,39307	151
514,90771	60
515,42242	38
515,93719	141
516,4519	16
516,96667	25
517,48151	51
517,99634	47
518,51117	25
519,02606	-19
519,54095	-33
520,05585	43
520,5708	-69
521,08575	209
521,60077	69
522,11578	-35
522,63086	86
523,14594	-55
523,66101	-45
524,17615	71
524,69128	153
525,20642	-1
525,72162	-74
526,23682	-78
526,75208	9
527,26733	94
527,78259	-17
528,29791	41
528,81329	180
529,32861	-25
529,84399	-15
530,35944	30
530,87488	92
531,39032	192
531,90582	-12
532,42133	103
532,93683	108
533,45239	31
533,96796	4
534,48358	37
534,99921	52
535,51483	7
536,03052	61
536,54626	6
537,06195	82
537,5777	-6
538,09351	92
538,60931	163
539,12512	65
539,64093	34
540,1568	-57
540,67273	133
541,18866	176
541,70459	56
542,22058	109
542,73657	-48
543,25256	35
543,76862	63
544,28467	58
544,80078	33
545,31689	53
545,83301	6
546,34918	67
546,86536	-42
547,38159	109
547,89783	-59
548,41412	-27
548,93036	162
549,44672	-22
549,96301	104
550,47937	85
550,99579	67
551,51215	194
552,02863	84
552,54504	74
553,06152	-8
553,57806	-133
554,0946	60
554,61115	72
555,12769	39
555,64429	-14
556,16095	7
556,67761	58
557,19427	126
557,711	-15
558,22772	-38
558,74445	124
559,26123	31
559,77802	-7
560,29486	36
560,81171	53
561,32855	48
561,84546	92
562,36237	92
562,87933	131
563,3963	125
563,91327	88
564,4303	-6
564,94733	-87
565,46442	-66
565,98151	36
566,4986	72
567,01575	90
567,5329	78
568,05011	-14
568,56732	66
569,08453	54
569,60181	-8
570,11908	62
570,63641	-59
571,15369	94
571,67108	165
572,18848	74
572,70587	91
573,22327	-71
573,74072	25
574,25824	-33
574,77576	79
575,29327	80
575,81079	152
576,32837	64
576,84601	51
577,36359	137
577,88129	147
578,39893	142
578,91663	219
579,43439	89
579,95209	129
580,46985	109
580,98767	48
581,50549	182
582,02332	3
582,5412	76
583,05908	60
583,57703	67
584,09497	30
584,61292	51
585,13092	50
585,64893	89
586,16699	110
586,68506	70
587,20313	45
587,72125	-17
588,23938	113
588,75751	114
589,2757	161
589,79395	19
590,31219	87
590,83044	127
591,34869	19
591,867	43
592,38531	179
592,90369	149
593,42206	228
593,94049	11
594,45892	95
594,97736	94
595,49585	136
596,01434	139
596,5329	28
597,05145	196
597,57001	261
598,08862	53
598,60724	182
599,12585	50
599,64453	46
600,16327	255
600,68195	-43
601,20068	171
601,71948	192
602,23828	53
602,75708	132
603,27594	30
603,7948	88
604,31372	116
604,83258	85
605,35156	163
605,87054	144
606,38953	156
606,90851	201
607,42755	93
607,94659	199
608,4657	120
608,9848	135
609,50397	76
610,02313	83
610,5423	237
611,06152	264
611,58075	249
612,09998	188
612,61926	137
613,13855	71
613,6579	222
614,17725	160
614,69666	-8
615,21606	204
615,73547	99
616,25494	156
616,77441	243
617,29388	121
617,81342	51
618,33295	121
618,85254	69
619,37213	85
619,89178	151
620,41144	193
620,93109	201
621,45081	98
621,97052	224
622,49023	68
623,01001	139
623,52979	110
624,04962	111
624,56946	175
625,08936	104
625,60925	105
626,12915	203
626,64905	126
627,16907	221
627,68903	215
628,20905	108
628,72906	269
629,24915	182
629,76923	366
630,28931	187
630,80945	235
631,32965	185
631,84979	180
632,37	161
632,89026	259
633,41052	298
633,93079	195
634,45111	160
634,97144	193
635,49176	292
636,01215	195
636,53253	193
637,05298	90
637,57343	113
638,09387	201
638,61438	163
639,13489	268
639,65546	92
640,17603	180
640,69666	201
641,21722	208
641,73792	108
642,25854	108
642,77924	263
643,29999	140
643,82074	198
644,34149	215
644,8623	106
645,38312	137
645,90393	125
646,4248	55
646,94568	42
647,46661	257
647,98755	162
648,50848	263
649,02948	195
649,55048	212
650,07153	101
650,59259	131
651,11365	303
651,63477	56
652,15594	180
652,67706	148
653,19824	323
653,71948	214
654,24066	197
654,76196	224
655,2832	363
655,8045	337
656,32587	253
656,84723	360
657,36859	242
657,88995	259
658,41138	358
658,93286	239
659,45435	237
659,97583	441
660,49731	359
661,01886	255
661,54047	176
662,06207	328
662,58368	457
663,10529	348
663,62695	389
664,14868	559
664,67041	465
665,19214	542
665,71393	566
666,23572	516
666,75751	659
667,27936	785
667,80121	803
668,32312	703
668,84503	818
669,36694	895
669,88892	941
670,41089	979
670,93286	1066
671,4549	1165
671,97699	1258
672,49908	1313
673,02118	1261
673,54327	1403
674,06543	1511
674,58765	1632
675,10986	1799
675,63208	1828
676,1543	2035
676,67657	2042
677,19891	2227
677,72125	2390
678,24359	2410
678,76593	2638
679,28833	2698
679,81079	2897
680,33319	3084
680,85571	3279
681,37817	3391
681,9007	3509
682,42322	3527
682,9458	3759
683,46838	3697
683,99103	3987
684,51367	3866
685,03632	4240
685,55902	4287
686,08173	4424
686,60449	4465
687,12726	4543
687,65002	4833
688,17285	4950
688,69568	5097
689,21857	5313
689,74146	5546
690,26434	5840
690,78729	6248
691,31024	6560
691,83319	6938
692,3562	7377
692,87927	7732
693,40228	8534
693,92542	8877
694,44849	9428
694,97162	10173
695,49475	10753
696,01794	11363
696,54114	12015
697,06439	12640
697,58765	13167
698,1109	13697
698,63422	14149
699,15753	14757
699,68091	15189
700,20428	15838
700,72766	16250
701,2511	16873
701,77454	17221
702,29797	17771
702,82147	18274
703,34497	18567
703,86853	18892
704,39209	19139
704,91571	19554
705,43933	19667
705,96295	19791
706,48663	19737
707,01031	19498
707,53406	19235
708,05774	19096
708,58154	18592
709,10529	18208
