Date and Time:                Tue Mar 18 15:21:43.510 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
464,58496	11156
465,09729	12024
465,60962	12886
466,12198	14000
466,63437	14650
467,14679	15418
467,65924	16032
468,17169	16856
468,68417	17364
469,19669	17959
469,70923	18602
470,2218	18943
470,73438	19241
471,24698	19200
471,75961	19290
472,27228	19367
472,78494	19036
473,29767	18655
473,81039	18003
474,32315	17599
474,83594	16756
475,34872	15977
475,86157	15212
476,37442	14386
476,8873	13448
477,40018	12617
477,91312	11518
478,42606	10645
478,93903	9786
479,45203	8610
479,96506	7748
480,47812	7034
480,99118	6261
481,50427	5492
482,0174	4761
482,53055	4144
483,0437	3522
483,55692	3083
484,07013	2750
484,58337	2292
485,09662	1850
485,60992	1606
486,12323	1546
486,63657	1294
487,14993	962
487,66333	959
488,17673	808
488,69019	816
489,20364	537
489,71713	451
490,23062	404
490,74417	325
491,25772	331
491,7713	354
492,28491	332
492,79855	207
493,31219	224
493,82587	212
494,3396	96
494,8533	178
495,36707	149
495,88086	302
496,39465	120
496,90848	56
497,42233	137
497,93619	121
498,4501	-36
498,96402	172
499,47797	19
499,99194	115
500,50595	31
501,01996	294
501,534	70
502,04807	107
502,56216	300
503,07629	48
503,59042	-30
504,10461	162
504,6188	203
505,133	56
505,64725	100
506,1615	143
506,67581	114
507,19012	402
507,70447	59
508,21881	4
508,73322	93
509,24762	191
509,76205	89
510,27652	28
510,79099	171
511,30551	85
511,82004	3
512,33459	71
512,84918	100
513,36377	166
513,87842	73
514,39307	82
514,90771	159
515,42242	154
515,93719	69
516,4519	283
516,96667	85
517,48151	78
517,99634	124
518,51117	163
519,02606	176
519,54095	19
520,05585	141
520,5708	130
521,08582	8
521,60077	-35
522,11578	226
522,63086	139
523,14594	158
523,66101	242
524,17615	66
524,69128	182
525,20642	151
525,72162	159
526,23682	239
526,75208	1
527,26733	264
527,78265	45
528,29791	106
528,81329	117
529,32861	69
529,84399	92
530,35944	101
530,87488	60
531,39032	94
531,90582	57
532,42133	136
532,93683	-36
533,45239	-12
533,96796	146
534,48358	96
534,99921	202
535,51489	22
536,03052	75
536,54626	120
537,06195	123
537,5777	85
538,09351	56
538,60931	79
539,12512	-23
539,64099	109
540,15686	149
540,67273	149
541,18866	194
541,70459	164
542,22058	38
542,73657	108
543,25256	133
543,76862	232
544,28467	189
544,80078	-18
545,31689	103
545,83301	16
546,34918	73
546,86536	50
547,38159	36
547,89783	92
548,41412	152
548,93036	169
549,44672	241
549,96301	129
550,47937	149
550,99579	-79
551,51221	122
552,02863	96
552,54504	161
553,06152	46
553,57806	10
554,0946	44
554,61115	179
555,12775	22
555,64435	2
556,16095	87
556,67761	141
557,19427	158
557,711	192
558,22772	147
558,74445	55
559,26123	195
559,77802	143
560,29486	119
560,81171	-45
561,32855	99
561,84546	199
562,36237	102
562,87933	42
563,3963	249
563,91327	94
564,4303	108
564,94733	69
565,46442	109
565,98151	200
566,4986	-137
567,01575	130
567,5329	125
568,05011	115
568,56732	209
569,08453	122
569,60181	140
570,11908	41
570,63641	167
571,15375	49
571,67108	86
572,18848	-33
572,70587	24
573,22333	106
573,74078	108
574,25824	13
574,77576	90
575,29327	215
575,81079	-28
576,32837	299
576,84601	-58
577,36365	160
577,88129	298
578,39893	77
578,91663	191
579,43439	28
579,95209	130
580,46991	119
580,98767	104
581,50549	6
582,02332	104
582,5412	160
583,05908	56
583,57703	198
584,09497	123
584,61292	106
585,13092	133
585,64893	146
586,16699	78
586,68506	137
587,20313	93
587,72125	137
588,23938	351
588,75757	156
589,27576	-29
589,79395	232
590,31219	161
590,83044	120
591,34869	267
591,867	110
592,38538	278
592,90369	124
593,42206	236
593,94049	176
594,45892	66
594,97736	118
595,49585	241
596,01434	127
596,5329	163
597,05145	237
597,57001	247
598,08862	164
598,60724	310
599,12585	259
599,64453	13
600,16327	324
600,68195	90
601,20074	303
601,71948	-15
602,23828	180
602,75708	276
603,27594	121
603,7948	249
604,31372	186
604,83264	352
605,35156	111
605,87054	221
606,38953	104
606,90851	22
607,42755	204
607,94666	199
608,4657	299
608,9848	134
609,50397	241
610,02313	103
610,5423	181
611,06152	135
611,58075	318
612,09998	232
612,61926	83
613,13861	229
613,6579	211
614,17725	172
614,69666	86
615,21606	219
615,73547	242
616,25494	3
616,77441	309
617,29388	201
617,81342	142
618,33301	237
618,85254	165
619,37213	205
619,89178	224
620,41144	245
620,93109	117
621,45081	181
621,97052	73
622,49023	96
623,01001	121
623,52985	47
624,04962	192
624,56946	171
625,08936	90
625,60925	108
626,12915	183
626,64911	176
627,16907	195
627,68903	80
628,20905	253
628,72906	227
629,24915	163
629,76923	139
630,28937	225
630,80945	336
631,32965	231
631,84979	240
632,37	123
632,89026	183
633,41052	100
633,93079	144
634,45111	18
634,97144	85
635,49176	193
636,01215	-53
636,53253	186
637,05298	55
637,57343	-39
638,09387	156
638,61438	147
639,13495	169
639,65546	174
640,17603	214
640,69666	218
641,21729	192
641,73792	159
642,25861	146
642,7793	166
643,29999	201
643,82074	153
644,34149	225
644,8623	64
645,38312	236
645,90393	170
646,4248	189
646,94568	206
647,46661	221
647,98755	227
