Date and Time:                Thu Mar 13 15:15:21.841 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
463,56039	-61
464,07266	-2
464,58496	23
465,09729	102
465,60962	79
466,12198	140
466,63437	152
467,14679	109
467,65924	-10
468,17169	172
468,68417	57
469,19669	204
469,70923	157
470,2218	302
470,73438	230
471,24698	201
471,75961	266
472,27228	257
472,78494	96
473,29767	70
473,81039	236
474,32315	221
474,83594	115
475,34872	264
475,86154	149
476,37442	122
476,8873	260
477,40018	2
477,91312	177
478,42606	104
478,93903	-108
479,45203	27
479,96506	27
480,47809	73
480,99118	73
481,50427	-5
482,0174	53
482,53055	-120
483,0437	-56
483,55688	68
484,07013	164
484,58334	-119
485,09662	-43
485,60992	-51
486,12323	79
486,63657	-46
487,14993	-89
487,66333	-5
488,17673	-89
488,69016	-224
489,20364	16
489,7171	-62
490,23062	-184
490,74417	-156
491,25772	-55
491,7713	4
492,28491	-15
492,79855	-8
493,31219	-85
493,82587	68
494,33957	125
494,8533	42
495,36707	-63
495,88083	-154
496,39465	-63
496,90848	-116
497,42233	-56
497,93619	-92
498,4501	-49
498,96402	-182
499,47797	86
499,99194	176
500,50595	-94
501,01996	-17
501,534	-207
502,04807	-68
502,56216	-110
503,07629	-84
503,59042	-71
504,10458	-86
504,61877	-20
505,133	45
505,64725	-107
506,1615	4
506,67581	-59
507,19012	-51
507,70444	4
508,21881	13
508,73318	-71
509,24762	-15
509,76205	-189
510,27652	-107
510,79099	-71
511,30551	-156
511,82004	-218
512,33459	-89
512,84918	-31
513,36377	-99
513,87842	-126
514,39307	114
514,90771	-65
515,42242	-105
515,93719	-144
516,4519	-98
516,96667	16
517,48151	-115
517,99634	-22
518,51117	-121
519,02606	-116
519,54095	-40
520,05585	5
520,5708	-178
521,08575	-117
521,60077	47
522,11578	121
522,63086	-178
523,14594	26
523,66101	-81
524,17615	-62
524,69128	-95
525,20642	-229
525,72162	-143
526,23682	35
526,75208	-121
527,26733	-91
527,78259	-265
528,29791	-110
528,81329	-55
529,32861	-64
529,84399	-28
530,35944	-18
530,87488	-227
531,39032	-232
531,90582	-54
532,42133	-128
532,93683	-123
533,45239	119
533,96796	-46
534,48358	16
534,99921	-25
535,51483	-66
536,03052	-181
536,54626	-246
537,06195	-3
537,5777	-54
538,09351	-139
538,60931	-101
539,12512	-67
539,64093	-176
540,1568	-192
540,67273	-238
541,18866	-216
541,70459	-179
542,22058	-11
542,73657	-2
543,25256	-198
543,76862	-98
544,28467	-46
544,80078	-94
545,31689	-181
545,83301	-196
546,34918	-42
546,86536	-215
547,38159	-183
547,89783	-134
548,41412	-231
548,93036	-335
549,44672	38
549,96301	9
550,47937	-131
550,99579	-279
551,51215	-36
552,02863	82
552,54504	-94
553,06152	65
553,57806	-166
554,0946	-148
554,61115	-87
555,12769	-92
555,64429	-105
556,16095	-140
556,67761	-79
557,19427	-65
557,711	-169
558,22772	-224
558,74445	-131
